track,tag,x,y,route,entry_utc_epoch,entry_time_pst,exit_utc_epoch,exit_time_pst,first_detection_utc_epoch,first_detection_time_pst
track-74EB,74EB,647365.750372745,4185722.69341692,San_Joaquin,,,1522158625.5441384,2018-03-27 05:50:26,1522158337.6180902,2018-03-27 05:45:38
track-752B,752B,647387.113186042,4185710.61558227,Head_of_Old_River,1521930592.9549296,2018-03-24 14:29:53,1521931191.7696855,2018-03-24 14:39:52,1521930592.9549296,2018-03-24 14:29:53
track-7532,7532,647369.1079159529,4185704.15334922,Head_of_Old_River,1521279132.1854465,2018-03-17 01:32:12,1521279873.3877244,2018-03-17 01:44:33,1521279132.1854465,2018-03-17 01:32:12
track-7555,7555,647344.908734357,4185739.97416672,no_exit,,,,,1521454097.37333,2018-03-19 02:08:17
track-7557,7557,647364.44227632,4185706.43759866,Head_of_Old_River,,,1521531222.0615785,2018-03-19 23:33:42,1521530589.59282,2018-03-19 23:23:10
track-755B,755B,647348.514813847,4185767.51132854,San_Joaquin,,,1522016003.2806046,2018-03-25 14:13:23,1522015519.95084,2018-03-25 14:05:20
track-755E,755E,647344.127429924,4185752.47623525,no_exit,,,,,1522030581.9756699,2018-03-25 18:16:22
track-7563,7563,647401.037325163,4185724.35511514,Head_of_Old_River,1521520145.7765944,2018-03-19 20:29:06,1521521293.1066628,2018-03-19 20:48:13,1521520145.7765944,2018-03-19 20:29:06
track-7566,7566,647398.381729597,4185725.66206875,Head_of_Old_River,1521933864.9513216,2018-03-24 15:24:25,1521934288.1224186,2018-03-24 15:31:28,1521933864.9513216,2018-03-24 15:24:25
track-7567,7567,647359.346488566,4185734.27988509,San_Joaquin,,,1521929400.327001,2018-03-24 14:10:00,1521928974.4772801,2018-03-24 14:02:54
track-7571,7571,647359.656486575,4185747.49093662,San_Joaquin,,,1521551656.1181214,2018-03-20 05:14:16,1521550189.00648,2018-03-20 04:49:49
track-7585,7585,647406.281230881,4185737.03283464,no_exit,,,,,1521939471.3750598,2018-03-24 16:57:51
track-758A,758A,647306.500186536,4185768.9096818,Head_of_Old_River,,,1521942310.830707,2018-03-24 17:45:11,1521942071.82597,2018-03-24 17:41:12
track-758D,758D,647404.670116139,4185734.69490778,Head_of_Old_River,1521298594.2436028,2018-03-17 06:56:34,1521299549.5688,2018-03-17 07:12:30,1521298594.2436028,2018-03-17 06:56:34
track-7599,7599,647218.132609655,4185915.90395198,no_exit,,,,,1521988160.17585,2018-03-25 06:29:20
track-75A2,75A2,647391.046610132,4185771.45669932,San_Joaquin,,,1521950600.7673054,2018-03-24 20:03:21,1521950109.0601099,2018-03-24 19:55:09
track-75B3,75B3,647335.955367966,4185765.10311501,no_exit,,,,,1521961400.8262,2018-03-24 23:03:21
track-75B6,75B6,647354.730324089,4185778.80547326,San_Joaquin,,,1521889909.3932495,2018-03-24 03:11:49,1521889446.8065,2018-03-24 03:04:07
track-75BA,75BA,647365.5657899671,4185704.78315781,Head_of_Old_River,1521940678.289907,2018-03-24 17:17:58,1521941302.8731973,2018-03-24 17:28:23,1521940678.289907,2018-03-24 17:17:58
track-75C9,75C9,647397.5453733001,4185750.638209501,San_Joaquin,,,1521444024.5896544,2018-03-18 23:20:25,1521443473.48325,2018-03-18 23:11:13
track-75D3,75D3,647371.655660388,4185780.51537467,San_Joaquin,,,1521958354.2901835,2018-03-24 22:12:34,1521958001.7112,2018-03-24 22:06:42
track-75D5,75D5,647407.6373968071,4185734.49623246,San_Joaquin,1521657148.0637114,2018-03-21 10:32:28,1521658564.399313,2018-03-21 10:56:04,1521657148.0637114,2018-03-21 10:32:28
track-7615,7615,647396.152495179,4185721.10658961,San_Joaquin,1521572618.0562575,2018-03-20 11:03:38,1521573576.586874,2018-03-20 11:19:37,1521572618.0562575,2018-03-20 11:03:38
track-7629,7629,647386.912846084,4185710.77272603,Head_of_Old_River,1522011290.502532,2018-03-25 12:54:51,1522011759.3924375,2018-03-25 13:02:39,1522011290.502532,2018-03-25 12:54:51
track-7652,7652,647396.174663948,4185747.13483762,San_Joaquin,,,1521538329.8256488,2018-03-20 01:32:10,1521537762.2788901,2018-03-20 01:22:42
track-7653,7653,647356.8149443261,4185770.84335452,San_Joaquin,,,1521996237.8689876,2018-03-25 08:43:58,1521995905.9049098,2018-03-25 08:38:26
track-7657,7657,647350.7460312711,4185768.86069194,San_Joaquin,,,1522612575.7515154,2018-04-01 11:56:16,1522612219.66748,2018-04-01 11:50:20
track-7659,7659,647412.101025344,4185741.70617493,Head_of_Old_River,1521650035.8140125,2018-03-21 08:33:56,1521651556.9369533,2018-03-21 08:59:17,1521650035.8140125,2018-03-21 08:33:56
track-768D,768D,647359.451761386,4185773.85142521,Head_of_Old_River,,,1522020723.167023,2018-03-25 15:32:03,1522020469.18566,2018-03-25 15:27:49
track-7692,7692,647336.6534661261,4185751.80502036,no_exit,,,,,1522062806.78195,2018-03-26 03:13:27
track-7696,7696,647368.4622089029,4185746.35196831,no_exit,,,,,1522059124.73816,2018-03-26 02:12:05
track-769A,769A,647384.597820377,4185711.17365118,no_exit,1521386626.461842,2018-03-18 07:23:46,,,1521386626.461842,2018-03-18 07:23:46
track-769B,769B,647336.680550349,4185788.65051854,San_Joaquin,,,1521985128.500567,2018-03-25 05:38:49,1521984870.45257,2018-03-25 05:34:30
track-76A7,76A7,647384.541503535,4185720.57676492,Head_of_Old_River,1521286468.5935435,2018-03-17 03:34:29,1521287381.0382235,2018-03-17 03:49:41,1521286468.5935435,2018-03-17 03:34:29
track-76AD,76AD,647375.856011201,4185699.29883271,no_exit,1521968203.6062765,2018-03-25 00:56:44,,,1521968203.6062765,2018-03-25 00:56:44
track-76AE,76AE,647363.69286646,4185702.55382498,no_exit,,,,,1522138772.56147,2018-03-27 00:19:33
track-76AF,76AF,647376.171375809,4185698.96513846,Head_of_Old_River,1521309985.869606,2018-03-17 10:06:26,1521310460.5024538,2018-03-17 10:14:21,1521309985.869606,2018-03-17 10:06:26
track-76B1,76B1,647409.67013602,4185736.73588268,Head_of_Old_River,1521319214.3624468,2018-03-17 12:40:14,1521320571.8960829,2018-03-17 13:02:52,1521319214.3624468,2018-03-17 12:40:14
track-76B7,76B7,647411.3882481239,4185738.07411787,San_Joaquin,1521929659.0074675,2018-03-24 14:14:19,1521930048.0728314,2018-03-24 14:20:48,1521929659.0074675,2018-03-24 14:14:19
