track,tag,entry_time,exit_time,x,y,route
track-7B4D,7B4D,,1521434280.391796,647378.705906658,4185702.37863948,Head_of_Old_River
track-7B51,7B51,,,,,no_exit
track-7B56,7B56,,1521880414.634093,,,San_Joaquin
track-7B5A,7B5A,,,,,no_exit
track-7B6A,7B6A,,1522068538.3834615,,,San_Joaquin
track-7BA9,7BA9,,1521948072.0410204,,,Head_of_Old_River
track-7BD5,7BD5,,1521288014.8656187,647415.812629051,4185740.58900626,Head_of_Old_River
track-7CA5,7CA5,,1521290901.401227,647384.690669859,4185707.57240169,Head_of_Old_River
track-7CA9,7CA9,,1521341272.1606555,,,Head_of_Old_River
track-7CAB,7CAB,,1522089108.6993213,,,San_Joaquin
track-7CB5,7CB5,,1521874105.1279511,,,San_Joaquin
track-7D25,7D25,,,647401.413286526,4185730.17607083,no_exit
track-7D29,7D29,,1521881679.53193,,,Head_of_Old_River
track-7D4D,7D4D,,1521896614.7491813,,,San_Joaquin
track-7D53,7D53,,,647388.092053186,4185713.80218994,no_exit
track-7D57,7D57,,1522085161.8079436,,,San_Joaquin
track-7D5A,7D5A,,,,,no_exit
track-7D65,7D65,,1521932048.889358,,,San_Joaquin
track-7DAB,7DAB,,1522254296.8196852,,,San_Joaquin
track-7DD5,7DD5,,1521439874.3449118,,,San_Joaquin
track-7EAA,7EAA,,,647377.982126808,4185704.51112942,no_exit
track-7EAB,7EAB,,,,,no_exit
track-8255,8255,,1521937273.7190275,,,San_Joaquin
track-8292,8292,,1521497281.0115266,647378.4786073171,4185707.28517897,Head_of_Old_River
track-82A4,82A4,,1521955497.3867931,,,San_Joaquin
track-82BA,82BA,,,647376.664549616,4185701.19445195,no_exit
track-82D2,82D2,,1522025117.2061453,,,San_Joaquin
track-82D5,82D5,,1521913876.686849,,,San_Joaquin
track-834A,834A,,1522059735.9310832,,,San_Joaquin
track-836A,836A,,1521275476.6427784,,,Head_of_Old_River
