x,y,tnum,x_sd,y_sd,num_rx
647355.355111136,4185763.20745325,1521895983.95615,7.8799220835953,9.273176218330859,2
647350.9748222671,4185759.51076268,1521896004.07445,9.2157184722608,7.644173441361329,1
647346.586344172,4185755.80721027,1521896024.23035,9.934423830865027,4.804279368129981,2
647345.9460838389,4185755.82768622,1521896029.24874,9.9686845795462,5.29476312028802,1
647339.537239054,4185756.0164011,1521896079.4965699,9.728423448689579,7.64281782358561,1
647338.8974842561,4185756.03535844,1521896084.52526,9.643826604061319,7.715301717031719,1
647336.977777086,4185756.09224329,1521896099.6147802,9.31720751201692,7.79520404489545,1
647336.338230068,4185756.11119462,1521896104.64186,9.18271602574426,7.77677029964941,1
647335.058716159,4185756.14910944,1521896114.69927,8.87170228561008,7.67162678177796,1
647334.410898671,4185756.16830023,1521896119.79071,8.69150421529061,7.58274530117698,1
647333.779405764,4185756.18707941,1521896124.7549698,8.49956299146992,7.47184895244692,1
647332.498943045,4185756.22514605,1521896134.81953,8.057361444501389,7.16921369930729,1
647331.218130212,4185756.26322287,1521896144.8868198,7.53301092218135,6.75003879260275,1
647329.296966346,4185756.3203365,1521896159.98732,6.54889051950228,5.84648921734336,1
647328.6565877689,4185756.3393741,1521896165.02075,6.15165905885252,5.44851662788487,1
647327.375777289,4185756.37745085,1521896175.0880196,5.20709097313772,4.43212751336429,1
647325.449813209,4185756.43470432,1521896190.2258801,3.06259678730555,1.3793720363124695,2
647325.4620180001,4185755.02041399,1521896195.25898,2.92579967700535,1.13528568087302,2
647328.519578462,4185758.52031509,1521896210.3572302,3.28884786748968,3.80065285558341,1
647330.558252086,4185760.85392784,1521896220.4242196,1.96414427384758,4.21110450239639,2
647329.827146081,4185762.81935363,1521896225.45586,3.1474592951297904,4.76804838679887,1
647329.096338831,4185764.78397405,1521896230.48544,3.93380690969566,5.221102688016191,1
647325.443465428,4185774.60395165,1521896255.62536,6.01261772908502,6.577558476907071,1
647324.71295698,4185776.56777019,1521896260.65289,6.23350413773401,6.716335070238942,1
647323.249591326,4185780.50168159,1521896270.7240698,6.54524948111256,6.88546916787003,1
647322.519249776,4185782.46504403,1521896275.75047,6.642432562648032,6.9242286768930486,1
647319.5962838429,4185790.32279523,1521896295.86715,6.66729929176787,6.738896414330079,1
647318.865311134,4185792.28785766,1521896300.8979301,6.583426694853281,6.60723092591522,1
647318.136358205,4185794.2474635,1521896305.9147,6.46101834226195,6.438601692958058,1
647317.4053042621,4185796.21266823,1521896310.9458401,6.29921694106644,6.228735359422259,1
647315.940895005,4185800.14920903,1521896321.02384,5.84139447659254,5.66662941116614,1
647315.211822116,4185802.10898836,1521896326.04111,5.533674140012621,5.30262213281468,1
647314.480266718,4185804.07537923,1521896331.07531,5.161917930636402,4.86364379597412,1
647311.555334599,4185811.93750864,1521896351.20335,2.4439010974249,1.14431101315336,2
647311.562529168,4185816.44073739,1521896356.23415,0.700535043912828,1.16803768219784,3
647302.7602787521,4185825.37984831,1521896381.39924,5.05280863157276,5.1395849538015,1
647297.478673784,4185830.74357398,1521896396.49903,5.75506482909675,5.856592900231299,1
647288.676010808,4185839.68310455,1521896421.6653,5.77902717723847,5.96787846924191,1
647286.914980197,4185841.47151753,1521896426.69999,5.6195641887203,5.83705746632545,1
647281.634677502,4185846.83391406,1521896441.7960598,4.73835302863822,5.0946220112549,1
647276.352764508,4185852.19794485,1521896456.8967302,2.7876816543935097,3.5336229514965405,1
647274.5930707321,4185853.98499192,1521896461.92758,1.27921058343125,2.61007358398188,2
647272.3530407139,4185856.00068828,1521896466.95955,0.648703394550182,1.3788551769291602,3
647263.606088229,4185863.2615957,1521896492.1280198,4.706575302221268,4.77335058941547,1
647261.856782672,4185864.71370645,1521896497.16147,4.8882843294671385,4.93844125597961,1
647260.108060481,4185866.16533098,1521896502.19324,4.97490427524835,5.0116995378917,1
647249.6193790539,4185874.88211408,1521896532.39026,3.4016074743001403,3.3864371957731496,1
647246.122560929,4185877.78991832,1521896542.45507,0.448921976138371,0.16268338870860094,3
647244.482161436,4185879.13171676,1521896547.48708,0.432737484299589,1.82382457474832,2
647243.546335334,4185880.469286,1521896552.5181,2.24509765931814,0.33663166630163593,2
647242.661841179,4185882.17973805,1521896557.54884,2.74739894383096,0.7514456503670458,2
647241.099360873,4185884.8370695,1521896567.6091099,2.9123206444124903,3.1353466611795,1
647240.317587831,4185886.16664263,1521896572.64267,2.3368444033336297,3.44014137407208,1
647239.536673656,4185887.49476649,1521896577.6707199,0.34760221252732204,3.4732902867980404,2
647238.381897663,4185888.79662818,1521896582.69926,1.83850732481501,3.27585037144545,1
647237.226827314,4185890.09881941,1521896587.72908,0.608844350829092,2.764471589863,2
647237.140018411,4185891.1945646005,1521896592.75641,0.8928274443598001,2.00858610918541,2
647235.057476882,4185891.44391225,1521896597.78633,0.7192486607231191,0.11776227839543,3
647233.624100083,4185892.86958685,1521896602.8152301,2.14922572809598,2.09617924226114,1
647232.191384833,4185894.29460598,1521896607.84182,2.11143372936783,2.09588860140661,1
647230.758523125,4185895.71977019,1521896612.8689196,0.191368841382721,0.112057877056259,4
647230.287308189,4185897.09171194,1521896617.8952599,0.28591902883307696,0.189289533970383,5
647229.125604395,4185898.69232659,1521896622.9226599,1.8233416612923703,1.81771424885391,1
647227.963859242,4185900.29299801,1521896627.9502301,0.257463697940404,0.124498313805716,4
647227.305105159,4185901.27192052,1521896632.97776,2.10714311089794,0.126913549333065,2
647226.6456253771,4185902.36611071,1521896638.00779,2.12050945037987,2.24240075330755,1
647225.986130215,4185903.46032644,1521896643.03792,0.485035049694895,2.63172822179288,2
647225.0423490971,4185904.52579267,1521896648.0662901,1.88895463789759,2.40003758472073,1
647224.098143791,4185905.5917346,1521896653.09692,0.836586988052572,1.1983046837779,4
647223.325011861,4185907.415629,1521896658.1270401,0.321055658724675,0.126501802640477,3
