x,y,tnum,x_sd,y_sd,num_rx
647376.328890812,4185709.64536044,1521467904.76417,24.7045701208978,21.5368297408697,2
647376.328890814,4185709.64536045,1521467919.83828,24.704569160499894,21.5368294210916,1
647376.328890815,4185709.64536045,1521467924.86279,24.704568840371103,21.536829314503397,2
647376.328890816,4185709.64536045,1521467929.88495,24.7045684880927,21.536829425260898,2
647376.328890819,4185709.64536046,1521467939.92635,24.704567719154703,21.5368300811772,1
647376.32889082,4185709.64536046,1521467944.9473,24.704567334663896,21.536830409152998,1
647376.328890822,4185709.64536047,1521467949.972,24.704566949885894,21.536830737383,1
647376.328890827,4185709.64536048,1521467965.04717,24.7045657954685,21.536831722147397,1
647376.328890828,4185709.64536048,1521467970.0697901,24.7045654108493,21.536832050236807,1
647376.32889083,4185709.64536049,1521467975.09231,24.704565026255,21.5368323783169,2
647376.328890822,4185709.64536049,1521467980.11486,24.7045655453576,21.536832247846398,1
647376.328890815,4185709.64536048,1521467985.1343699,24.704566064154,21.536832117448398,1
647376.328890801,4185709.64536048,1521467995.17272,24.7045671016742,21.536831856667,2
647376.328890781,4185709.64536048,1521468010.22843,24.7045685608011,21.5368321071409,1
647376.328890754,4185709.64536048,1521468030.32914,24.704570508972,21.536832441508004,1
647376.328890688,4185709.64536047,1521468080.54162,24.7045753754436,21.536833309467397,1
647376.328890661,4185709.64536047,1521468100.6186,24.704577321332398,21.5368336433791,1
647376.328890634,4185709.64536046,1521468120.6952,24.7045792671842,21.5368339772832,1
647376.328890607,4185709.64536046,1521468140.76946,24.7045812128084,21.53683431114189,2
647376.328890601,4185709.64536046,1521468145.7882,24.7045816111059,21.5368347295918,4
647376.328890599,4185709.64536047,1521468150.80589,24.704581973811894,21.536835509300104,1
647376.328890597,4185709.64536047,1521468155.82574,24.704582336670004,21.536836289355893,1
647376.328890595,4185709.64536048,1521468160.84421,24.7045826994278,21.5368370691927,1
647376.328890591,4185709.64536049,1521468170.88118,24.7045834249455,21.536838628870697,1
647376.328890586,4185709.6453605006,1521468180.91928,24.704584150535197,21.536840188734,1
647376.328890584,4185709.64536051,1521468185.94576,24.704584513879,21.536840969824095,1
647376.32889058,4185709.64536052,1521468195.98679,24.7045852396774,21.536842530139605,1
647376.328890573,4185709.64536054,1521468211.0550802,24.704586328870697,21.5368448716711,2
647376.3288905671,4185709.64536053,1521468216.0834699,24.7045866497936,21.5368451529709,1
647376.328890537,4185709.64536049,1521468241.18629,24.704588251894002,21.5368465571598,1
647376.328890531,4185709.64536048,1521468246.18691,24.7045885710365,21.5368468368226,1
647376.328890501,4185709.64536044,1521468271.3146,24.7045901747539,21.536848242219506,1
647376.328890495,4185709.64536044,1521468276.3099,24.704590493561,21.5368485215207,2
647376.3288904789,4185709.64536041,1521468296.3976,24.7045917194648,21.5368497470761,1
