x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647217.645019365,4185865.74332166,1522583375.97379,10.7034353962211,1.6733390857065,2,647217.6703357975,4185865.95217537,1522583378.49907,2018-04-01 11:49:38.499070,-0.0034549883711326307,-0.5845178333793237,0.07142674602295707,-0.014462860821046416,-0.5212289541887949,0.027241305856657246,-0.009220732035497725,-0.4741175590747052,0.014163678199669032,-1.9434108669408725,-4.7064396913324575
647217.69565223,4185866.16102908,1522583381.02435,9.941493606993939,4.088184340639221,1,647217.7209720835,4185866.36992123,1522583383.5500898,2018-04-01 11:49:43.550089,-0.002381977593287,-0.5668210075853898,0.06984290400112872,-0.01369379190355996,-0.4958872331579714,0.02266253788055515,-0.00978360025770152,-0.4573183319963829,0.007374498295532697,-1.9427687576579733,-4.612956524926458
647217.7462919371,4185866.57881338,1522583386.07583,9.104393569396187,5.08507690481902,1,647217.771606273,4185866.78763994,1522583388.600785,2018-04-01 11:49:48.600785,-0.0027607682629227775,-0.5493682079630969,0.06845707601860654,-0.014587684601534846,-0.47099985221313095,0.018434701126751298,-0.011874749653333495,-0.44036324142368977,0.0011330847011802713,-1.942131471560632,-4.524179411412064
647217.796920609,4185866.9964665,1522583391.12574,8.16951617336232,5.49818020917388,1,647217.8222458344,4185867.2054222804,1522583393.652235,2018-04-01 11:49:53.652235,-0.0038926560111690114,-0.5352355094015334,0.0697780672100005,-0.016344305772532555,-0.4523017548993605,0.019002623523317167,-0.014758983572490416,-0.42125796178460484,0.002378161766831118,-1.9415595056086263,-4.499689393098525
647217.84757106,4185867.41437806,1522583396.17873,7.09729366068475,5.46181681241671,1,647217.8982019525,4185867.832059335,1522583401.22898,2018-04-01 11:50:01.228980,-0.0007026600455157794,-0.5140377013836537,0.07175948050364643,-0.010471910496423577,-0.42425626360674307,0.019854503927533376,-0.010829223435002616,-0.39260172558616907,0.004245712432522558,-1.9407016065487397,-4.462956581684408
647217.948832845,4185868.24974061,1522583406.27923,4.12538824967383,3.8375023521887406,1,647217.9741620325,4185868.4586960897,1522583408.8058,2018-04-01 11:50:08.805800,0.00529231862128237,-0.49283992561358514,0.07374103264999983,0.00031790634072606516,-0.39621086297741503,0.020706539085157207,-0.002018486165796557,-0.3639455570904312,0.006113408485397306,-1.9398437077600923,-4.426224052407164
647217.99949122,4185868.66765157,1522583411.3323698,0.131172649430396,0.0795205877942363,3,647218.6031097535,4185868.808232465,1522583413.859365,2018-04-01 11:50:13.859365,0.00859029487333491,-0.4842585534538114,0.09535600728595761,0.006204319896118082,-0.391899053975048,0.043944901339220105,0.004383560304360969,-0.3558817219569176,0.028615528748699506,-1.9393447348667996,-4.444547032229831
647219.206728287,4185868.94881336,1522583416.38636,0.11710813198907198,0.0632078402108505,4,647219.7405268715,4185869.6885103853,1522583418.9129148,2018-04-01 11:50:18.912914,0.014946975464126558,-0.4724005278915762,0.13768736013793328,0.017397521395018586,-0.3942221206386459,0.08921687391084593,0.01542250577949314,-0.3523604691857999,0.07076309819225751,-1.9385515369063375,-4.482309101397121
647220.274325456,4185870.42820741,1522583421.4394698,3.90827990594783,0.269014635013293,2,647220.840740121,4185870.689954935,1522583423.966605,2018-04-01 11:50:23.966605,0.011059920999213428,-0.4707722367085557,0.18278358471661738,0.01585789906144533,-0.4161990565548561,0.13751482498358386,0.01639201504763879,-0.3698821023257302,0.11354333180644167,-1.9381298336569448,-4.534842700273744
647221.407154786,4185870.95170246,1522583426.49374,5.1009885820012695,3.83665251922314,1,647221.972942482,4185871.213168855,1522583429.01807,2018-04-01 11:50:29.018070,0.0020597124811958037,-0.4671805536593304,0.20143105263997635,0.0019310781672279773,-0.4180428867220771,0.1567941210007674,0.0061035809324747475,-0.37436883965469453,0.13124035027861597,-1.938189678868175,-4.4998034483174205
647222.5387301779,4185871.47463525,1522583431.5424,5.7079033088508,4.94591358446509,1,647223.1044925244,4185871.73608953,1522583434.0666199,2018-04-01 11:50:34.066619,-0.0004946316401116119,-0.4603121771944036,0.20994194057511628,-0.0008807673435607746,-0.40998780560615694,0.16460764362489125,0.005044434968418658,-0.37219697406946334,0.1386695692412896,-1.938336599369486,-4.423030679559848
647223.670254871,4185871.99754381,1522583436.59084,5.912564031540071,5.415607920377459,1,647224.236069723,4185872.259023195,1522583439.115295,2018-04-01 11:50:39.115295,0.005459334430748447,-0.45828889975537,0.23002568844334775,0.006037878670924861,-0.4072843345230402,0.18607431439801925,0.013318327728271864,-0.3757355515118753,0.16330831810011556,-1.938787712217611,-4.348379606983071
647224.801884575,4185872.52050258,1522583441.63975,5.75813381146614,5.41526727054013,1,647225.3678900215,4185872.78206735,1522583444.16506,2018-04-01 11:50:44.165060,0.004129179105190214,-0.458640687794853,0.2557874403480068,0.004952750166115141,-0.40720412538650363,0.2142391943721224,0.00923242760842824,-0.38207457638633385,0.19638953735889497,-1.9393880563713597,-4.27475373957421
647225.933895468,4185873.04363212,1522583446.6903698,5.2131812306680185,4.9427392906359415,1,647226.4997958265,4185873.3051498253,1522583449.215205,2018-04-01 11:50:49.215205,-0.00015739617883449297,-0.4542836343665505,0.27182572589033527,2.8680994985416652e-05,-0.40153833079548945,0.2327391332143887,-0.0018461656649525551,-0.37161844566667346,0.21362048786843632,-1.9396974012744028,-4.328712236308494
647227.065696185,4185873.56666753,1522583451.74004,4.12564760094525,3.82759890414568,1,647227.631418307,4185873.82810013,1522583454.26408,2018-04-01 11:50:54.264080,-0.0020491470862608885,-0.4502259017086385,0.28437963429988655,-0.0019560235413898855,-0.3984867509339906,0.2471393192504729,-0.004546645279059,-0.3634253362277169,0.22512416138412833,-1.9398953698669885,-4.397777
647228.1971404289,4185874.08953273,1522583456.78812,1.6401067513317498,0.0432278691795338,3,647228.4288990884,4185874.185772375,1522583459.314275,2018-04-01 11:50:59.314275,-0.0008649263086714931,-0.44981626028533317,0.29543302898413426,-0.001020044274975089,-0.40063319814350984,0.2590837675161308,-0.0025342536852181116,-0.3668350704488873,0.2368276017667253,-1.940100585305082,-4.397777
647228.660657748,4185874.28201202,1522583461.84043,4.33399851367914,3.58224732067752,1,647228.8924533945,4185874.378268345,1522583464.366985,2018-04-01 11:51:04.366985,-8.373330133543133e-05,-0.4497526587305478,0.3017716086057841,-0.0002347655366624346,-0.40207499985342376,0.2659366854907292,-0.0010640032237427613,-0.36901898187961,0.24353350189952028,-1.9402231030560075,-4.397777
647229.124249041,4185874.47452467,1522583466.8935401,5.77446713130478,4.13789192437342,1,647229.356129269,4185874.570813105,1522583469.4210153,2018-04-01 11:51:09.421015,-0.00011456677892315859,-0.44968905965839245,0.3081118410439405,-0.0002696195811698471,-0.4035172009963514,0.2727913907724392,-0.0009179244077674176,-0.37120348821964444,0.2502411500230234,-1.940345653292399,-4.397777
647229.588009497,4185874.66710154,1522583471.9484901,6.81013368449723,3.58606258734595,1,647229.819710087,4185874.76330842,1522583474.4739752,2018-04-01 11:51:14.473975,-0.0002868252464130472,-0.4496255865627479,0.31445071773787187,-0.0004204747375650547,-0.4049592321127613,0.27964463250519916,-0.0010004832774955508,-0.37338767740035317,0.25694736026270026,-1.9404681804965285,-4.397777
