x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum
647348.2421797285,4185704.5312328376,8.7489027204848,2.6066666666666665,2.6066666666666665,2.5383333333333336,-0.33615931293324536,0.3327442807833257,-0.38333332538604736,0.4846666653951009,1522951414.0
647348.6409744687,4185704.8565303325,9.26354405684121,2.655,2.655,2.591666666666667,-0.3362957506495367,0.3594738564216623,-0.5463333129882812,0.6746666630109152,1522951414.0
647349.039769209,4185705.181827828,9.778185393401749,2.7083333333333335,2.7083333333333335,2.658333333333333,-0.3216086297650779,0.4128601176974676,-0.5463333129882812,0.6746666630109152,1522951414.0
647349.4385639493,4185705.507125323,10.292826730052496,2.8616666666666664,2.8616666666666664,2.811666666666667,-0.35185803275422345,0.37479821398987306,-0.4766666690508525,0.4313333332538605,1522951414.0
647349.8373586898,4185705.8324228185,10.807468066408907,3.0433333333333334,3.0433333333333334,2.965,-0.3556398762146102,0.38367395815883026,-0.4099999964237213,0.4439999908208847,1522951414.0
647350.2361534298,4185706.157720313,11.322109402969446,3.098333333333333,3.098333333333333,3.043333333333333,-0.3590693187704834,0.41292300990900827,-0.6000000238418579,0.6669999957084656,1522951414.0
647350.6349481702,4185706.483017809,11.836750739620193,3.203333333333333,3.203333333333333,3.1566666666666667,-0.38022709920356274,0.4121012217822034,-0.4359999895095825,0.5889999866485596,1522951414.0
647351.0337429104,4185706.8083153036,12.35139207627094,3.3300000000000005,3.3300000000000005,3.2916666666666665,-0.4067780476103871,0.47212466157589117,-0.2579999938607216,0.7209999859333038,1522951414.0
647351.4325376508,4185707.1336128,12.8660334130119,3.435,3.435,3.4,-0.370023034882497,0.4120823862991448,-0.26600000262260437,0.18400000035762787,1522951414.0
647351.8313323912,4185707.4589102943,13.380674749752856,3.5483333333333333,3.5483333333333333,3.4650000000000003,-0.3943119009291484,0.4410166673362246,-0.4059999982515971,0.5071666638056437,1522951414.0
647352.2301271317,4185707.7842077906,13.895316086493812,3.6299999999999994,3.6299999999999994,3.5216666666666665,-0.40659523542438186,0.44126190688638406,-0.3841666628917058,0.531333347161611,1522951414.0
647352.6289218721,4185708.1095052846,14.409957422646096,3.795,3.795,3.7233333333333327,-0.41786666519112076,0.39912889096471965,-0.37266666690508526,0.5540000100930532,1522951414.0
647353.0277166123,4185708.4348027795,14.924598759026212,3.9433333333333334,3.9433333333333334,3.921666666666667,-0.4291499990969896,0.41803888860676025,-0.44816666344801587,0.6184999893109003,1522951414.0
647353.4265113524,4185708.7601002753,15.439240095586753,3.9633333333333334,3.9633333333333334,3.9499999999999997,-0.43228333306809236,0.4713666670024393,-0.5111666619777679,0.5898333241542181,1522951414.0
647353.8253060927,4185709.085397771,15.9538814322375,4.081666666666666,4.081666666666666,4.065,-0.4403000012040135,0.4816062492318446,-0.5270000050465266,0.4776666760444641,1522951414.0
