tag,epo,TagID_Hex,release
77AB,1521812239,77AB,upper
77B5,1522518990,77B5,lower
7895,1521375270,7895,lower
78AA,1521376506,78AA,upper
78AB,1521450736,78AB,lower
78B5,1521950474,78B5,lower
7929,1521139887,7929,upper
792A,1522774974,792A,upper
792B,1521899619,792B,upper
794A,1522112789,794A,lower
794B,1521592687,794B,lower
794D,1521913366,794D,upper
7953,1522131748,7953,lower
7954,1521975206,7954,upper
7955,1521939382,7955,upper
795A,1523023414,795A,upper
796B,1521975551,796B,lower
796D,1521928780,796D,lower
7975,1522958840,7975,lower
79A5,1522862696,79A5,upper
79A9,1522747223,79A9,upper
79AB,1521779594,79AB,lower
79AD,1523528669,79AD,lower
7A15,1523135345,7A15,upper
7A2D,1521942357,7A2D,lower
7A49,1521998226,7A49,upper
7A4A,1522821538,7A4A,upper
7A51,1521743217,7A51,lower
7A52,1522017589,7A52,upper
7A54,1521350229,7A54,upper
7A69,1522234850,7A69,lower
7A6A,1521907321,7A6A,lower
7A6B,1521351341,7A6B,lower
7A6D,1522017880,7A6D,upper
7A85,1522105435,7A85,lower
7A95,1521398043,7A95,lower
7A96,1521308933,7A96,lower
7A99,1521704782,7A99,lower
7A9A,1521142242,7A9A,upper
7AA1,1522570773,7AA1,upper
7AA3,1521414971,7AA3,lower
7AA6,1521705581,7AA6,upper
7AA7,1523278559,7AA7,lower
7AA8,1522021531,7AA8,upper
7AA9,1521309590,7AA9,upper
7AAD,1522239621,7AAD,lower
7AB1,1523592528,7AB1,upper
7AB2,1521963789,7AB2,lower
7AB5,1521693944,7AB5,upper
7AB6,1522487287,7AB6,lower
7ABA,1522106037,7ABA,upper
7ABB,1522516218,7ABB,upper
7AC5,1522148183,7AC5,lower
7ACD,1521427495,7ACD,lower
7AD7,1521273840,7AD7,lower
7AD9,1521884231,7AD9,lower
7ADB,1521304920,7ADB,lower
7AE5,1521280944,7AE5,lower
7AE9,1521369708,7AE9,lower
7AED,1521809329,7AED,lower
7AF5,1521451197,7AF5,lower
7B15,1522020336,7B15,lower
7B25,1522179332,7B25,lower
7B2B,1521908012,7B2B,lower
7B45,1521947773,7B45,lower
7B49,1521933245,7B49,lower
7B4B,1522018748,7B4B,lower
7B4D,1521432884,7B4D,lower
7B51,1522017413,7B51,upper
7B56,1521879638,7B56,upper
7B5A,1522063748,7B5A,lower
7B65,1521507366,7B65,lower
7B69,1521879886,7B69,lower
7B6A,1522068100,7B6A,lower
7B75,1521468138,7B75,lower
7BA9,1521947626,7BA9,lower
7BAB,1522505735,7BAB,upper
7BD5,1521286668,7BD5,lower
7C55,1521930923,7C55,lower
7CA5,1521289045,7CA5,lower
7CA9,1521340818,7CA9,upper
7CAB,1522088861,7CAB,lower
7CB5,1521873474,7CB5,lower
7D15,1521608398,7D15,upper
7D25,1521932329,7D25,lower
7D29,1521881188,7D29,lower
7D2A,1522425770,7D2A,upper
7D45,1523415946,7D45,lower
7D49,1521347565,7D49,lower
7D4D,1521896116,7D4D,upper
7D53,1521645965,7D53,upper
7D55,1521463950,7D55,lower
