x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647386.0290620527,4185648.4632456037,0.0,1.0436666806538901,1.0436666806538901,1.0300000111262004,-0.1979401705086741,0.1281752147315882,-0.1396666663090388,0.16000000401337944,1522856992.5,647386.2137043979,4185648.6606662013,1522856992.5,2018-04-04 15:49:52.500,-0.03376897244681272,-0.05729527197465615,0.03468843085085228,0.05843270663187292,0.035985954641440276,0.06191905049275047,-1.63637612085801,-1.2137489195652258
647386.3983467431,4185648.8580867983,0.5406207087829,1.0557499825954435,1.0557499825954435,1.0167500078678129,-0.16842460394672873,0.12641468280686868,-0.12150000265799465,0.14250000286474826,1522856992.5,647386.5829890883,4185649.0555073945,1522856992.5,2018-04-04 15:49:52.500,-0.05219685791734734,-0.08856156862063982,0.053618069052869866,0.09031970666545362,0.03883869841886076,0.06719793149265685,-1.7646250131655696,-1.2131343503834708
647386.7676314334,4185649.252927991,1.0812414175658,1.0113333264986677,1.0113333264986677,0.9481666684150696,-0.19177967468186366,0.18898292750169834,-0.12283333125834665,0.1463333351785938,1522856992.5,647386.9522737786,4185649.4503485877,1522856992.5,2018-04-04 15:49:52.500,-0.07062474338788197,-0.11982786526662348,0.07254770725488746,0.12220670669903433,0.040344788445473366,0.07019196675052142,-1.892873905473129,-1.2125197812017157
647387.1369161238,4185649.647769184,1.6218621263487003,1.0768333276112874,1.0768333276112874,1.0226666629314425,-0.180533333226366,0.2163056927265433,-0.13679999804645776,0.16160000221431253,1522856992.5,647387.321558469,4185649.845189781,1522856992.5,2018-04-04 15:49:52.500,-0.08905262885841658,-0.15109416191260713,0.09147734545690504,0.15409370673261502,0.03933910558623352,0.06873073634403058,-2.0211227977806887,-1.2119052120199605
647387.5062008143,4185650.042610378,2.1624828351316,1.1624999940395355,1.1624999940395355,1.1101666589577992,-0.18460894336046546,0.18608536579112825,-0.1629999962616712,0.1495000019185245,1522856992.5,647387.6908431593,4185650.240030975,1522856992.5,2018-04-04 15:49:52.500,-0.1056941277960247,-0.17977624377338966,0.10851664145926444,0.18326225470532678,0.039441189818424954,0.06886255704841607,-2.1519448465231914,-1.2143679551089166
647387.8754855045,4185650.4374515717,2.7031035439144997,1.3171666562557218,1.3171666562557218,1.2758333484331768,-0.19399957273494547,0.1539170940491952,-0.20000000433251264,0.07850000081956388,1522856992.5,647388.0601278497,4185650.6348721692,1522856992.5,2018-04-04 15:49:52.500,-0.11710510291602422,-0.2008917677955376,0.12002103238280837,0.20447119929855306,0.0393466476661576,0.06871161445118247,-2.2903010737737737,-1.2258410409699665
647388.2447701948,4185650.8322927663,3.24372425261788,1.3584999938805895,1.3584999938805895,1.3176666696866353,-0.18527804873158654,0.18754552812939732,-0.21533333381762107,0.1473333289176226,1522856992.5,647388.4294125399,4185651.0297133625,1522856992.5,2018-04-04 15:49:52.500,-0.12851607802348786,-0.22200729179151674,0.13152542329408173,0.22568014386600055,0.03759242007582714,0.06617392128942329,-2.4286573008286596,-1.2373141268194345
647388.6140548851,4185651.2271339586,3.7843449610606856,1.4473333259423573,1.4473333259423573,1.4213333129882812,-0.1539571427108986,0.2600230170444837,-0.16800000059604644,0.15900000327825548,1522856992.5,647388.7986972302,4185651.4245545557,1522856992.5,2018-04-04 15:49:52.500,-0.1399270531309515,-0.2431228157874959,0.14302981420535513,0.24688908843344806,0.03583819248549668,0.06363622812766409,-2.5670135278835464,-1.2487872126689026
647388.9833395752,4185651.621975153,4.324965669764065,1.4898333251476288,1.4898333251476288,1.4490000009536743,-0.1775218242784282,0.1862595245474625,-0.19199999797344208,0.2049999952018261,1522856992.5,647389.1679819204,4185651.8193957494,1522856992.5,2018-04-04 15:49:52.500,-0.15133802824357392,-0.2642383397947362,0.15453420512161717,0.26809803301191465,0.034083964892658566,0.061098534962277296,-2.7053697550262035,-1.2602602985229674
647389.3526242656,4185652.0168163455,4.8655863784674445,1.6878333191076915,1.6878333191076915,1.5694999893506367,-0.2226055545829042,0.23888888880521605,-0.08899999928474425,0.231000003695488,1522856992.5,647389.5372666107,4185652.214236943,1522856992.5,2018-04-04 15:49:52.500,-0.16274900335619635,-0.2853538638019766,0.16603859603787924,0.28930697759038126,0.03130926822098666,0.05787860880237881,-2.84372598216886,-1.2717333843770324
647389.7219089558,4185652.4116575406,5.406207087170824,1.7976666788260145,1.7976666788260145,1.7473333279291792,-0.2439671885000153,0.2915463533296404,-0.2779999966621399,0.18900000190734864,1522856992.5,647389.906551301,4185652.609078137,1522856992.5,2018-04-04 15:49:52.500,-0.17415997847619588,-0.3064693878241246,0.17754298696142312,0.31051592218360746,0.025311234432152913,0.05266061320114465,-2.982082209419443,-1.2832064702380825
647390.0911936462,4185652.806498734,5.946827795953723,1.8779999911785128,1.8779999911785128,1.8680000106493635,-0.3450900908954105,0.242718692922122,-0.2779999966621399,0.18900000190734864,1522856992.5,647390.2758359914,4185653.0039193304,1522856992.5,2018-04-04 15:49:52.500,-0.18557095358587783,-0.32758491182375016,0.18904737787498976,0.3317248667547956,0.02219016187773979,0.049118357967540716,-3.120438436494484,-1.2946795560899385
647390.4604783364,4185653.201339927,6.487448504317008,1.9520000120004015,1.9520000120004015,1.9126666982968648,-0.299084688665174,0.27178513631566953,-0.2345000013113022,0.2370000048875809,1522856992.5,647390.6451206816,4185653.3987605236,1522856992.5,2018-04-04 15:49:52.500,-0.19698192869334147,-0.3487004358197293,0.20055176878626313,0.35293381132224316,0.019278808836848932,0.04373046292553158,-3.25879466354937,-1.3061526419394063
647390.8297630268,4185653.5961811207,7.028069213020388,2.0038333435853324,2.0038333435853324,1.986833373705546,-0.2570977514438634,0.3115799550843265,-0.2779999966621399,0.18900000190734864,1522856992.5,647391.0144053719,4185653.7936017173,1522856992.5,2018-04-04 15:49:52.500,-0.19838212176595305,-0.36378288839530204,0.20115366540847648,0.3668539105215086,0.01673848294887168,0.03832010840175318,-3.450170070854252,-1.3105654463336078
