"","Fish","TagID","Node_count","X_UTM","Y_UTM","Z_meter","Epoch_Sec","dt","uSecs"
"63","2",7245,4,647236.1,4185809.1,1,1521794384,2018-03-23 01:39:44,296173
"64","2",7245,3,647240.1,4185791.1,5,1521794424,2018-03-23 01:40:24,725999
"65","2",7245,3,647238.1,4185827.1,4,1521794596,2018-03-23 01:43:16,570562
"66","2",7245,3,647255.1,4185802.1,5,1521794682,2018-03-23 01:44:42,508664
"67","2",7245,5,647262.1,4185794.1,2,1521794738,2018-03-23 01:45:38,104826
"68","2",7245,5,647261.1,4185793.1,5,1521794743,2018-03-23 01:45:43,156361
"69","2",7245,3,647270.1,4185777.1,2,1521794818,2018-03-23 01:46:58,970969
"70","2",7245,3,647267.1,4185782.1,1,1521794829,2018-03-23 01:47:09,76640
"71","2",7245,3,647262.1,4185782.1,4,1521794844,2018-03-23 01:47:24,242302
"72","2",7245,3,647253.1,4185794.1,4,1521794909,2018-03-23 01:48:29,939582
"73","2",7245,3,647243.1,4185797.1,3,1521794945,2018-03-23 01:49:05,283528
"74","2",7245,3,647244.1,4185801.1,1,1521794955,2018-03-23 01:49:15,379566
"75","2",7245,3,647237.1,4185800.1,5,1521794970,2018-03-23 01:49:30,535982
"76","2",7245,3,647243.1,4185799.1,1,1521795051,2018-03-23 01:50:51,352862
"77","2",7245,3,647228.1,4185803.1,5,1521795101,2018-03-23 01:51:41,897026
"78","2",7245,3,647232.1,4185806.1,1,1521795106,2018-03-23 01:51:46,925556
"79","2",7245,3,647245.1,4185801.1,1,1521795202,2018-03-23 01:53:22,949554
"80","2",7245,3,647257.1,4185793.1,5,1521795268,2018-03-23 01:54:28,627610
"81","2",7245,3,647259.1,4185791.1,4,1521795278,2018-03-23 01:54:38,738740
"82","2",7245,3,647265.1,4185783.1,3,1521795304,2018-03-23 01:55:04,13237
"83","2",7245,3,647271.1,4185795.1,2,1521795349,2018-03-23 01:55:49,511302
"84","2",7245,3,647265.1,4185792.1,3,1521795354,2018-03-23 01:55:54,566520
"85","2",7245,3,647268.1,4185778.1,2,1521795364,2018-03-23 01:56:04,678711
"86","2",7245,3,647262.1,4185779.1,5,1521795389,2018-03-23 01:56:29,945621
"87","2",7245,4,647263.1,4185789.1,5,1521795410,2018-03-23 01:56:50,161466
