index,dist,dn1,dn2,dnm,dt,head,id,speed,t1,t2,tm,u,v,x1,x2,xm,y1,y2,ym,z1,z2,zm,depth,i,us,vs,nsmooth,time,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
37,3.3541019662496847,736777.6291666668,736777.6298611109,736777.6295138889,6.0,2.0344439357957027,7567,0.5590169943749475,1521929217.0,1521929223.0,1521929220.0,-0.25,0.5,647265.1,647263.6,647264.35,4185797.1,4185800.1,4185798.6,1.5,5.0,3.25,0.9815,7582.0,-0.3242196147885765,0.5084126632720832,8.0,2018-03-24 22:06:30.000000,-0.15950207726544186,-0.19133334036451516,0.12632665730049555,0.16058611877995332,-0.001106043696176777,-0.00039925338673792166,-5.009360888272373,2.1440612909879904
38,3.3541019662496847,736777.6298611109,736777.6298611109,736777.6298611109,5.0,2.0344439357957027,7567,0.6708203932499369,1521929223.0,1521929228.0,1521929225.5,-0.3,0.6,647263.6,647262.1,647262.85,4185800.1,4185803.1,4185801.6,5.0,5.0,5.0,0.951,11784.0,-0.3590689238210399,0.564993954050786,8.0,2018-03-24 22:06:59.999980,-0.1580372823162089,-0.18941550920406586,0.12560699450595006,0.15936513246646664,-0.00019742845336484516,3.241834238015828e-05,-4.966841774167258,2.144077065771856
39,7.211102550927977,736777.6298611109,736777.6298611109,736777.6298611109,10.0,2.1587989303424644,7567,0.7211102550927978,1521929228.0,1521929238.0,1521929233.0,-0.4,0.6,647262.1,647258.1,647260.1,4185803.1,4185809.1,4185806.1,5.0,5.0,5.0,1.2131,11780.0,-0.3667093880166613,0.5889824689888772,8.0,2018-03-24 22:06:59.999980,-0.15082781696812,-0.1863385342491638,0.11857099112849805,0.1561731616415623,-0.0019124779657648354,-0.0008004205854366397,-5.1814842536689545,2.1441283272312144
40,2.9154759474226504,736777.6298611109,736777.6298611109,736777.6298611109,5.0,2.1112158270654806,7567,0.5830951894845301,1521929238.0,1521929243.0,1521929240.5,-0.3,0.5,647258.1,647256.6,647257.35,4185809.1,4185811.6,4185810.35,5.0,5.0,5.0,0.9053,11778.0,-0.3519592163134746,0.5771691323470611,8.0,2018-03-24 22:06:59.999980,-0.15281014197797138,-0.18588831652313859,0.11730164360555957,0.15303733762624874,-0.0015025040976676465,-0.0007692509464834463,-5.0539096691954475,2.14415153390211
41,12.206555615733702,736777.6298611109,736777.6298611109,736777.6298611109,15.0,2.181522291184105,7567,0.8137703743822468,1521929243.0,1521929258.0,1521929250.5,-0.4666666666666667,0.6666666666666666,647256.6,647249.6,647253.1,4185811.6,4185821.6,4185816.6,5.0,1.5,3.25,0.8016,31543.0,-0.3442776735459662,0.5729831144465289,8.0,2018-03-24 22:06:59.999980,-0.1538882493295103,-0.1847067081753977,0.11485980957533666,0.14838957676694245,-0.0015489740062709437,-0.00041651566208116,-4.831659150225569,2.1441543688260905
42,6.041522986797286,736777.6298611109,736777.6298611109,736777.6298611109,10.0,1.9974238199217729,7567,0.6041522986797286,1521929258.0,1521929268.0,1521929263.0,-0.25,0.55,647249.6,647247.1,647248.35,4185821.6,4185827.1,4185824.35,1.5,1.5,1.5,0.951,7524.0,-0.32593340060544906,0.5520065202204455,8.0,2018-03-24 22:06:59.999980,-0.15218527996761502,-0.18199493235831318,0.1132389446356547,0.1453732186571246,1.945332766090102e-05,-2.1048412374324865e-05,-4.6933376065575,2.144173953446181
43,8.06225774829855,736777.6298611109,736777.6305555556,736777.6302083333,15.0,2.08994244104142,7567,0.5374838498865699,1521929268.0,1521929283.0,1521929275.5,-0.26666666666666666,0.4666666666666667,647247.1,647243.1,647245.1,4185827.1,4185834.1,4185830.6,1.5,5.0,3.25,0.7254,11768.0,-0.3095277046149819,0.5304529913131677,8.0,2018-03-24 22:07:29.999980,-0.14253303018705177,-0.17618697921385762,0.10444517431397984,0.13962848920593834,0.00021122837343119996,-0.00017451316931613864,-5.018971458174176,2.14428370024805
44,10.295630140987,736777.6305555556,736777.6305555556,736777.6305555556,15.0,2.0778948311872334,7567,0.6863753427324667,1521929283.0,1521929298.0,1521929290.5,-0.3333333333333333,0.6,647243.1,647238.1,647240.6,4185834.1,4185843.1,4185838.6,5.0,5.0,5.0,0.7163,32536.0,-0.3054570042160528,0.5166096571474027,8.0,2018-03-24 22:08:00.000000,-0.13925904587319032,-0.171711629474671,0.09948969713955136,0.1336806427284165,0.0005222307511171358,-6.273134896886412e-06,-5.038064991966851,2.144417882160523
45,8.06225774829855,736777.6305555556,736777.6305555556,736777.6305555556,16.0,2.08994244104142,7567,0.5038911092686593,1521929298.0,1521929314.0,1521929306.0,-0.25,0.4375,647238.1,647234.1,647236.1,4185843.1,4185850.1,4185846.6,5.0,5.0,5.0,0.8992,12530.0,-0.2914005725611099,0.5193789914115834,8.0,2018-03-24 22:08:00.000000,-0.1386054362530389,-0.1664223360417829,0.09739595055666529,0.12712404024738208,1.075586181454452e-05,-0.0001116522498425046,-4.687163,2.144509780076919
46,8.321658488546621,736777.6305555556,736777.6305555556,736777.6305555556,15.0,2.142133806628524,7567,0.5547772325697746,1521929314.0,1521929329.0,1521929321.5,-0.3,0.4666666666666667,647234.1,647229.6,647231.85,4185850.1,4185857.1,4185853.6,5.0,4.5,4.75,0.6187,10940.0,-0.28325300386939106,0.4940669336772792,8.0,2018-03-24 22:08:00.000000,-0.13217749524402178,-0.15989103378381458,0.08955042548465134,0.11903413466561966,-1.9603161388284662e-05,-0.00015354067564116863,-4.687163,2.144644010138867
47,3.5355339059327378,736777.6305555556,736777.6305555556,736777.6305555556,5.0,2.3561944901923453,7567,0.7071067811865476,1521929329.0,1521929334.0,1521929331.5,-0.5,0.5,647229.6,647227.1,647228.35,4185857.1,4185859.6,4185858.35,4.5,4.5,4.5,0.7498,19622.0,-0.2731123789388593,0.4821459107373265,8.0,2018-03-24 22:08:00.000000,-0.12754592956411737,-0.1554751709422221,0.0839019673191787,0.11300016911370664,7.17336947899383e-05,-0.00015742164775063225,-4.5346112618328185,2.144743155624241
48,20.155644370746373,736777.6305555556,736777.63125,736777.6309027778,30.0,1.9789454305499856,7567,0.6718548123582124,1521929334.0,1521929364.0,1521929349.0,-0.26666666666666666,0.6166666666666667,647227.1,647219.1,647223.1,4185859.6,4185878.1,4185868.85,4.5,5.0,4.75,0.3932,8391.0,-0.2418790001207584,0.4675073748857108,8.0,2018-03-24 22:08:30.000000,-0.1067831826699414,-0.13674878576542424,0.0686465188551623,0.09808000481235814,0.0005078644480245274,-0.000353628309884807,-4.349488817353285,2.1450528073328443
49,4.031128874149275,736777.63125,736777.63125,736777.63125,5.0,-1.4464413322481349,7567,0.8062257748298549,1521929364.0,1521929369.0,1521929366.5,0.1,-0.8,647219.1,647219.6,647219.35,4185878.1,4185874.1,4185876.1,5.0,0.5,2.75,0.0853,9301.0,-0.212109375,0.46171875,8.0,2018-03-24 22:09:00.000000,-0.0876055818247154,-0.11435293017451795,0.06471136068269193,0.08887520653224856,-0.00014709160527319638,7.538115862343667e-05,-3.924552944274579,2.145271666956903
50,3.6400549446402586,736777.63125,736777.63125,736777.63125,5.0,1.8490959858000082,7567,0.7280109889280518,1521929369.0,1521929374.0,1521929371.5,-0.2,0.7,647219.6,647218.6,647219.1,4185874.1,4185877.6,4185875.85,0.5,0.0,0.25,0.0853,9301.0,-0.17649552088345133,0.4727701789355511,8.0,2018-03-24 22:09:00.000000,-0.0881642042943209,-0.11483548411542878,0.06393269197458458,0.08809923287399087,-7.789983269029799e-05,6.681319466730548e-05,-3.9168299980866252,2.1452719441950125
51,7.566372975210777,736777.63125,736777.63125,736777.63125,15.0,1.7033478590915707,7567,0.5044248650140519,1521929374.0,1521929389.0,1521929381.5,-0.06666666666666668,0.5,647218.6,647217.6,647218.1,4185877.6,4185885.1,4185881.35,0.0,4.5,2.25,0.0945,10687.0,-0.12068548776950595,0.4892681040317123,8.0,2018-03-24 22:09:00.000000,-0.06902680775073383,-0.1008213905629638,0.06409289133875944,0.08950283387980676,0.0016961179678001495,0.0005663819032857009,-4.252110621385304,2.145378407348298
52,4.272001872658765,736777.63125,736777.63125,736777.63125,10.0,1.9295669970654687,7567,0.4272001872658765,1521929389.0,1521929399.0,1521929394.0,-0.15,0.4,647217.6,647216.1,647216.85,4185885.1,4185889.1,4185887.1,4.5,0.0,2.25,-0.1128,19606.0,-0.05857789703169545,0.5076974677175918,8.0,2018-03-24 22:09:00.000000,-0.05532093553824034,-0.08777655709078686,0.06748552328191668,0.09311216128517921,0.0007422275934174678,0.00036632601470974746,-4.440891668965789,2.145422691922236
53,6.020797289396148,736777.63125,736777.6319444445,736777.6315972223,6.0,1.6539375586833378,7567,1.0034662148993578,1521929399.0,1521929405.0,1521929402.0,-0.08333333333333333,1.0,647216.1,647215.6,647215.85,4185889.1,4185895.1,4185892.1,0.0,0.0,0.0,0.0762,19604.0,-0.029269903247107463,0.536763228158824,8.0,2018-03-24 22:09:30.000000,-0.0416733290151675,-0.07708901527927847,0.06505666575078999,0.09349682692463113,0.0011030568740019696,0.00037090928487678795,-4.997771641355768,2.1454545413530557
54,8.06225774829855,736777.6319444445,736777.6319444445,736777.6319444445,15.0,1.4464413322481349,7567,0.5374838498865699,1521929405.0,1521929420.0,1521929412.5,0.06666666666666668,0.5333333333333333,647215.6,647216.6,647216.1,4185895.1,4185903.1,4185899.1,0.0,0.0,0.0,0.8748,27544.0,-0.007883636363636362,0.5303563636363636,8.0,2018-03-24 22:10:00.000000,-0.02339601563888162,-0.06311433702039677,0.06289721772631407,0.0987738396767823,-0.0004374643365861507,2.138224651984655e-05,-6.413339172453236,2.145489191015951
55,2.549509756796392,736777.6319444445,736777.6319444445,736777.6319444445,5.0,1.7681918866447774,7567,0.5099019513592784,1521929420.0,1521929425.0,1521929422.5,-0.1,0.5,647216.6,647216.1,647216.35,4185903.1,4185905.6,4185904.35,0.0,2.5,1.25,3.8405,19470.0,0.009245263120891484,0.5299328575948254,8.0,2018-03-24 22:10:00.000000,-0.009609258803259675,-0.05258720140416355,0.06021411102239796,0.09994495239993947,-0.0007803061185798345,7.829359165000341e-05,-7.279764145117701,2.145510693526008
56,5.852349955359813,736777.6319444445,736777.6319444445,736777.6319444445,15.0,1.2220253232109897,7567,0.3901566636906542,1521929425.0,1521929440.0,1521929432.5,0.13333333333333333,0.36666666666666653,647216.1,647218.1,647217.1,4185905.6,4185911.1,4185908.35,2.5,5.0,3.75,4.4196,88534.0,0.021399109731694368,0.5146812594437865,8.0,2018-03-24 22:10:00.000000,-0.0011288117987194083,-0.04762753481144148,0.05682487194244196,0.10102844948465615,-0.0008206280513886794,-0.0008697440673660576,-8.162430561608806,2.1455136447604923
57,4.123105625617661,736777.6319444445,736777.6319444445,736777.6319444445,5.0,1.8157749899217608,7567,0.8246211251235321,1521929440.0,1521929445.0,1521929442.5,-0.2,0.8,647218.1,647217.1,647217.6,4185911.1,4185915.1,4185913.1,5.0,3.5,4.25,5.5778,88538.0,0.018137254901960786,0.4725490196078431,8.0,2018-03-24 22:10:00.000000,0.007055901590946774,-0.037598001302655025,0.05466625015352554,0.10082453533794308,-0.002680759517373541,-0.0009011887888499912,-9.004922061010532,2.145507743494835
58,2.549509756796392,736777.6319444445,736777.6319444445,736777.6319444445,5.0,1.7681918866447774,7567,0.5099019513592784,1521929445.0,1521929450.0,1521929447.5,-0.1,0.5,647217.1,647216.6,647216.85,4185915.1,4185917.6,4185916.35,3.5,4.0,3.75,6.1874,88537.0,0.018055555555555557,0.4513888888888889,8.0,2018-03-24 22:10:00.000000,0.015584210787539441,-0.029658297232848557,0.05053338734767329,0.0982023377754888,-0.002456238582831878,-0.0012182488791142518,-9.948735773137585,2.145526932442766
59,1.5,736777.6319444445,736777.6319444445,736777.6319444445,5.0,1.5707963267948966,7567,0.3,1521929450.0,1521929455.0,1521929452.5,0.0,0.3,647216.6,647216.6,647216.6,4185917.6,4185919.1,4185918.35,4.0,4.0,4.0,6.0046,88536.0,0.07564102564102564,0.4121794871794872,8.0,2018-03-24 22:10:00.000000,0.019303091704534977,-0.02523750297651432,0.04863777946185864,0.09624251129887804,-0.0018110947745512535,-0.0012303822359361971,-10.371870958926698,2.1455404186674745
60,2.0,736777.6319444445,736777.6326388889,736777.6322916667,5.0,1.5707963267948966,7567,0.4,1521929455.0,1521929460.0,1521929457.5,0.0,0.4,647216.6,647216.6,647216.6,4185919.1,4185921.1,4185920.1,4.0,4.0,4.0,6.5532,69504.0,0.28103844433821146,0.3270544512467809,8.0,2018-03-24 22:10:30.000000,0.022771537254238125,-0.020126633112363554,0.04967985953487912,0.09274945886523286,-0.002204873771762334,-0.001057139628283583,-10.088964578077073,2.1455676567183257
61,2.5,736777.6326388889,736777.6326388889,736777.6326388889,5.0,0.9272952180016124,7567,0.5,1521929460.0,1521929465.0,1521929462.5,0.3,0.4,647216.6,647218.1,647217.35,4185921.1,4185923.1,4185922.1,4.0,2.5,3.25,6.5532,69504.0,0.3061784538184099,0.3159400972244002,8.0,2018-03-24 22:11:00.000000,0.026889892589013663,-0.014654586530847283,0.05128438177738762,0.08895521398387624,-0.0025046470667947707,-0.0013617601338301762,-9.740732223837718,2.145592146841625
62,5.7008771254956905,736777.6326388889,736777.6326388889,736777.6326388889,15.0,0.9097531579442096,7567,0.380058475033046,1521929465.0,1521929480.0,1521929472.5,0.2333333333333333,0.3,647218.1,647221.6,647219.85,4185923.1,4185927.6,4185925.35,2.5,0.0,1.25,5.6083,69503.0,0.31712364829290024,0.3145964116479689,8.0,2018-03-24 22:11:00.000000,0.028979945189811784,-0.008428347305997268,0.05080063127231556,0.0870982308368947,-0.0026922204111379166,-0.002483732844414112,-10.126327435920862,2.1455831326411055
63,31.240998703626612,736777.6326388889,736777.6333333333,736777.6329861111,66.0,0.6947382761967031,7567,0.4733484652064639,1521929480.0,1521929546.0,1521929513.0,0.3636363636363637,0.30303030303030304,647221.6,647245.6,647233.6,4185927.6,4185947.6,4185937.6,0.0,0.5,0.25,9.1135,77803.0,0.32607112983673603,0.3224929520741039,8.0,2018-03-24 22:11:30.000000,0.04815676377283308,0.01691569517406193,0.04756373588325978,0.0873356004082112,-0.0009182241069634282,-0.0022447631882434394,-10.576509958607417,2.1453820677962505
64,2.23606797749979,736777.6333333333,736777.6333333333,736777.6333333333,5.0,1.1071487177940904,7567,0.4472135954999579,1521929546.0,1521929551.0,1521929548.5,0.2,0.4,647245.6,647246.6,647246.1,4185947.6,4185949.6,4185948.6,0.5,1.0,0.75,6.919,81058.0,0.3309540814183086,0.32215266983153384,8.0,2018-03-24 22:12:00.000000,0.06871601005053042,0.05020066953657726,0.043436612220455986,0.0828139125196141,7.751453635273901e-05,-0.0022520775035633055,-10.026012807079528,2.1451436683334117
65,2.23606797749979,736777.6333333333,736777.6333333333,736777.6333333333,5.0,1.1071487177940904,7567,0.4472135954999579,1521929551.0,1521929556.0,1521929553.5,0.2,0.4,647246.6,647247.6,647247.1,4185949.6,4185951.6,4185950.6,1.0,0.0,0.5,5.6083,65370.0,0.3261007631680323,0.30940581173800324,8.0,2018-03-24 22:12:00.000000,0.07114680214959576,0.059650078144644084,0.041773530653662516,0.07498474783785321,-0.00040788986222706734,-0.0038729488536439517,-9.21573524291625,2.1451355337966937
66,4.47213595499958,736777.6333333333,736777.6333333333,736777.6333333333,5.0,1.1071487177940904,7567,0.8944271909999159,1521929556.0,1521929561.0,1521929558.5,0.4,0.8,647247.6,647249.6,647248.6,4185951.6,4185955.6,4185953.6,0.0,0.0,0.0,2.5207,81055.0,0.33037805286048844,0.30812980930076944,7.0,2018-03-24 22:12:00.000000,0.07420378752100928,0.07095071367725565,0.04171787115525025,0.068292435499102,0.000652490578709957,-0.0004904354765817714,-7.890164488089524,2.1451004199472936
67,1.0,736777.6333333333,736777.6333333333,736777.6333333333,5.0,0.0,7567,0.2,1521929561.0,1521929566.0,1521929563.5,0.2,0.0,647249.6,647250.6,647250.1,4185955.6,4185955.6,4185955.6,0.0,2.5,1.25,0.4846,81053.0,0.2285714285714285,0.2628571428571429,6.0,2018-03-24 22:12:00.000000,0.07699730949066806,0.08080514081272908,0.042972641488384006,0.06753005151016397,-0.0003504492272563813,-0.002893555458298544,-6.755717987665289,2.145046949315566
68,1.8027756377319943,736777.6333333333,736777.6333333333,736777.6333333333,10.0,-0.5880026035475676,7567,0.18027756377319945,1521929566.0,1521929576.0,1521929571.0,0.15,-0.1,647250.6,647252.1,647251.35,4185955.6,4185954.6,4185955.1,2.5,0.0,1.25,2.5481,81051.0,0.22702702702702704,0.20540540540540544,5.0,2018-03-24 22:12:00.000000,0.0791283326733109,0.08452179549095667,0.04240331131981345,0.06837024615717908,-0.0006637350722146062,-0.003390832880231155,-7.2125660163821905,2.145009157007884
0,8.06225774829855,736775.0381944445,736775.0388888889,736775.0385416667,35.0,2.6224465393432705,7a99,0.23035022137995856,1521705331.0,1521705366.0,1521705348.5,-0.2,0.11428571428571427,647358.6,647351.6,647355.1,4185753.6,4185757.6,4185755.6,5.0,0.5,2.75,1.5301,109871.0,-0.2097879282218597,0.265905383360522,5.0,2018-03-22 07:55:30.000000,-0.07917496281967049,-0.09792158796416449,0.08392609770599235,0.10352349654163365,-0.0008428181497234823,-0.0005157009828290274,-5.573347285220726,1.6760045255747287
